Date,Open,High,Low,Close,Adj Close,Volume
2017-04-21,282.500000,285.000000,282.250000,284.750000,243.784775,194867
2017-04-24,284.000000,286.000000,283.910004,284.000000,243.142670,110453
2017-04-25,285.500000,286.000000,284.000000,285.000000,243.998749,66968
2017-04-26,284.000000,285.000000,282.000000,282.000000,241.430359,213391
2017-04-27,282.000000,282.750000,280.000000,280.000000,239.718079,104126
2017-04-28,280.000000,283.000000,279.000000,280.750000,240.360168,831614
2017-05-02,284.000000,284.000000,280.250000,282.500000,241.858383,300520
2017-05-03,281.250000,284.000000,281.000000,281.000000,240.574219,58849
2017-05-04,281.000000,282.056000,280.250000,280.500000,240.146164,817651
2017-05-05,280.000000,282.000000,279.444000,280.000000,239.718079,754496
2017-05-08,280.000000,282.750000,279.750000,282.750000,242.072433,528590
2017-05-09,282.750000,282.750000,281.000000,282.500000,241.858383,85328
2017-05-10,284.500000,284.500000,281.000000,282.500000,241.858383,176842
2017-05-11,282.500000,283.000000,282.000000,282.500000,241.858383,185999
2017-05-12,282.250000,283.000000,280.000000,282.250000,241.644409,493289
2017-05-15,282.250000,284.750000,281.000000,282.500000,241.858383,149851
2017-05-16,281.250000,284.164001,281.000000,281.500000,241.002274,153323
2017-05-17,281.500000,284.500000,281.500000,283.625000,242.821594,329147
2017-05-18,283.000000,285.000000,280.500000,280.500000,240.146164,679655
2017-05-19,281.500000,284.000000,280.500000,280.500000,240.146164,1930957
2017-05-22,282.250000,284.750000,282.000000,282.000000,241.430359,167498
2017-05-23,281.500000,284.166992,281.500000,282.000000,241.430359,292476
2017-05-24,282.000000,284.221985,281.750000,283.750000,242.928604,128003
2017-05-25,282.250000,284.125000,282.000000,282.000000,241.430359,171202
2017-05-26,282.000000,285.750000,282.000000,285.750000,244.640869,208974
2017-05-30,286.250000,286.250000,283.500000,283.750000,242.928604,179062
2017-05-31,283.750000,286.000000,283.500000,285.000000,243.998749,155490
2017-06-01,284.250000,286.194000,284.000000,284.000000,243.142670,817447
2017-06-02,287.000000,287.000000,283.000000,283.625000,242.821594,192635
2017-06-05,284.250000,285.000000,283.000000,283.750000,242.928604,144189
2017-06-06,283.500000,284.500000,283.250000,284.125000,243.249664,401916
2017-06-07,284.500000,286.750000,284.000000,285.875000,244.747910,1690771
2017-06-08,286.000000,290.000000,285.000000,287.500000,246.139099,249172
2017-06-09,287.500000,293.250000,287.500000,293.000000,250.847870,356631
2017-06-12,290.000000,293.500000,290.000000,292.000000,249.991730,104013
2017-06-13,291.000000,293.750000,290.500000,291.250000,249.349655,220212
2017-06-14,291.000000,294.484009,291.000000,293.000000,250.847870,310320
2017-06-15,292.500000,299.000000,292.500000,297.000000,254.272400,295805
2017-06-16,298.500000,303.250000,297.000000,303.250000,259.623199,1895219
2017-06-19,302.250000,303.959015,300.000000,300.000000,256.840820,100082
2017-06-20,301.000000,301.000000,301.000000,301.000000,257.696960,478697
2017-06-21,301.000000,302.630005,299.414001,300.500000,257.268890,482176
2017-06-22,300.000000,300.000000,297.000000,297.000000,254.272400,39879
2017-06-23,297.250000,299.000000,296.000000,296.000000,253.416245,90129
2017-06-26,297.000000,297.000000,294.250000,294.250000,251.918045,150552
2017-06-27,294.500000,294.500000,290.250000,290.750000,248.921539,55087
2017-06-28,289.750000,291.000000,286.500000,290.000000,248.279434,1705045
2017-06-29,290.250000,292.250000,290.500000,290.750000,248.921539,62712
2017-06-30,292.000000,295.250000,291.000000,294.250000,251.918045,180976
2017-07-03,292.750000,295.500000,291.000000,293.000000,250.847870,202476
